candidate_id,institution,degree,field_of_study,start_year,end_year,grade,tier
CAND_0000001,Lovely Professional University,B.E.,Computer Science,2017,2020,8.24 CGPA,tier_3
CAND_0000002,Local Engineering College,B.Sc,Mathematics,2007,2011,77%,tier_4
CAND_0000003,Local Engineering College,M.E.,Chemical Engineering,2005,2010,6.82 CGPA,tier_4
CAND_0000003,Chandigarh University,M.Sc,Information Technology,2017,2021,87%,tier_3
CAND_0000004,Local Engineering College,B.Tech,Machine Learning,2015,2019,7.72 CGPA,tier_4
CAND_0000004,Lovely Professional University,Ph.D,Electronics,2013,2016,7.61 CGPA,tier_3
CAND_0000005,Chandigarh University,M.Sc,Information Technology,2007,2012,87%,tier_3
CAND_0000006,Lovely Professional University,B.Sc,Artificial Intelligence,2005,2008,9.26 CGPA,tier_3
CAND_0000007,SRM University,M.E.,Data Science,2009,2013,8.28 CGPA,tier_2
CAND_0000008,Anna University,B.Tech,Data Science,2008,2012,8.60 CGPA,tier_2
CAND_0000008,SRM University,M.Sc,Computer Engineering,2009,2013,67%,tier_2
CAND_0000009,KIIT University,B.Tech,Electronics,2009,2014,7.89 CGPA,tier_3
CAND_0000010,Generic State University,B.E.,Mathematics,2007,2011,85%,tier_4
CAND_0000010,Local Engineering College,M.S.,Computer Engineering,2013,2018,7.73 CGPA,tier_4
CAND_0000011,Chandigarh University,B.Tech,Data Science,2014,2019,6.96 CGPA,tier_3
CAND_0000011,Anna University,B.Sc,Information Technology,2015,2020,9.16 CGPA,tier_2
CAND_0000012,Symbiosis International,B.Sc,Physics,2018,2022,68%,tier_3
CAND_0000012,Christ University,B.Sc,Mechanical Engineering,2011,2015,7.28 CGPA,tier_3
CAND_0000013,Delhi College of Engineering,B.E.,Information Technology,2019,2022,8.84 CGPA,tier_2
CAND_0000013,Amity University,Ph.D,Information Technology,2008,2013,8.29 CGPA,tier_3
CAND_0000014,Lovely Professional University,B.E.,Statistics,2012,2015,7.45 CGPA,tier_3
CAND_0000015,Local Engineering College,Ph.D,Mathematics,2013,2017,8.15 CGPA,tier_4
CAND_0000016,Christ University,B.E.,Electronics,2001,2006,8.32 CGPA,tier_3
CAND_0000017,Tier-3 Engineering College,M.Tech,Data Science,2017,2022,7.58 CGPA,tier_4
CAND_0000018,Lovely Professional University,Ph.D,Computer Engineering,2016,2020,7.25 CGPA,tier_3
CAND_0000019,IISc Bangalore,M.Tech,Computer Science,2010,2014,72%,tier_1
CAND_0000019,IIT Guwahati,M.Tech,Machine Learning,2002,2006,7.34 CGPA,tier_1
